name,primary_position,secondary_position,nationality,overall
Thibaut Courtois,GK,,Belgium,90
Mike Penders,GK,,Belgium,83
Senne Lammens,GK,,Belgium,78
Timothy Castagne,RB,LB,Belgium,79
Thomas Meunier,RB,RWB,Belgium,78
Joaquin Seys,CB,LB,Belgium,78
Maxim De Cuyper,LB,LWB,Belgium,80
Arthur Theate,CB,LB,Belgium,80
Zeno Debast,CB,CDM,Belgium,78
Koni De Winter,CB,RB,Belgium,78
Brandon Mechele,CB,,Belgium,79
Axel Witsel,CB,CDM,Belgium,80
Kevin De Bruyne,CAM,CM,Belgium,87
Youri Tielemans,CM,CDM,Belgium,85
Amadou Onana,CDM,CM,Belgium,79
Nicolas Raskin,CM,CDM,Belgium,77
Hans Vanaken,CAM,CM,Belgium,80
Diego Moreira,CM,CDM,Belgium,78
Jérémy Doku,LW,RW,Belgium,80
Leandro Trossard,LW,CAM,Belgium,83
Dodi Lukébakio,RW,LW,Belgium,82
Charles De Ketelaere,CAM,CF,Belgium,82
Alexis Saelemaekers,RW,LW,Belgium,83
Romelu Lukaku,ST,CF,Belgium,84
Nathan Ngoy,CB,RB,Belgium,78
Matias Fernandez Pardo,LW,ST,Belgium,77
