name,primary_position,secondary_position,nationality,overall
Alisson,GK,,Brazil,89
Ederson,GK,,Brazil,85
Weverton,GK,,Brazil,78
Alex Sandro,LB,CB,Brazil,80
Bremer,CB,,Brazil,85
Danilo,RB,CB,Brazil,81
Douglas Santos,LB,LWB,Brazil,82
Gabriel Magalhães,CB,,Brazil,88
Ibañez,CB,,Brazil,82
Léo Pereira,CB,LB,Brazil,79
Marquinhos,CB,,Brazil,87
Ederson Silva,CDM,CM,Brazil,82
Bruno Guimarães,CM,CDM,Brazil,86
Casemiro,CDM,CM,Brazil,80
Danilo Santos,CM,CDM,Brazil,80
Fabinho,CDM,CM,Brazil,82
Lucas Paquetá,CAM,CM,Brazil,80
Endrick,ST,CF,Brazil,85
Gabriel Martinelli,LW,ST,Brazil,86
Igor Thiago,ST,CF,Brazil,83
Luiz Henrique,RW,LW,Brazil,78
Matheus Cunha,CF,ST,Brazil,85
Neymar,CAM,LW,Brazil,89
Raphinha,RW,LW,Brazil,89
Rayan,RW,ST,Brazil,77
Vinícius Júnior,LW,ST,Brazil,90
