name,primary_position,secondary_position,nationality,overall
Maxime Crepeau,GK,,Canada,79
Dayne St Clair,GK,,Canada,78
Owen Goodman,GK,,Canada,76
Alphonso Davies,LB,LWB,Canada,84
Moise Bombito,CB,,Canada,78
Derek Cornelius,CB,LB,Canada,77
Luc de Fougerolles,CB,,Canada,77
Alistair Johnston,RB,CB,Canada,79
Alfie Jones,CB,RB,Canada,77
Richie Laryea,RB,LB,Canada,78
Niko Sigur,RB,CDM,Canada,78
Joel Waterman,CB,RB,Canada,77
Ali Ahmed,LM,LWB,Canada,77
Tajon Buchanan,RW,RWB,Canada,80
Mathieu Choiniere,CM,CDM,Canada,78
Stephen Eustaquio,CDM,CM,Canada,79
Ismael Kone,CM,CDM,Canada,78
Liam Millar,LW,RW,Canada,79
Jonathan Osorio,CM,CAM,Canada,80
Nathan Saliba,CM,CDM,Canada,78
Jacob Shaffelburg,LW,RW,Canada,78
Jonathan David,ST,CF,Canada,82
Promise David,ST,CF,Canada,77
Cyle Larin,ST,CF,Canada,78
Tani Oluwaseyi,ST,CF,Canada,77
Jayden Nelson,RW,LW,Canada,78
