name,primary_position,secondary_position,nationality,overall
Jordan Pickford,GK,,England,84
Dean Henderson,GK,,England,81
James Trafford,GK,,England,78
Reece James,RB,CDM,England,81
Trevoh Chalobah,CB,,England,77
Marc Guehi,CB,,England,82
Ezri Konsa,CB,RB,England,82
John Stones,CB,,England,84
Jarell Quansah,CB,,England,78
Nico O'Reilly,LB,"CM,LM",England,81
Dan Burn,CB,,England,80
Djed Spence,LB,RB,England,83
Declan Rice,CDM,CM,England,87
Elliot Anderson,CM,CDM,England,86
Jude Bellingham,CAM,CM,England,90
Jordan Henderson,CDM,CM,England,79
Morgan Rogers,CAM,LW,England,82
Kobbie Mainoo,CM,CDM,England,83
Harry Kane,ST,,England,90
Ivan Toney,ST,,England,81
Ollie Watkins,ST,,England,84
Bukayo Saka,RW,RM,England,88
Noni Madueke,RW,"LW,LM,RM",England,80
Marcus Rashford,LW,"ST,LM",England,85
Anthony Gordon,LW,"RW,LM",England,83
Eberechi Eze,CAM,LW,England,83
