name,primary_position,secondary_position,nationality,overall
Mike Maignan,GK,,France,87
Brice Samba,GK,,France,80
Robin RISSER,GK,,France,78
Jules Kounde,RB,CB,France,87
Lucas Digne,LB,,France,81
William Saliba,CB,,France,87
Ibrahima Konate,CB,,France,86
Dayot Upamecano,CB,,France,85
Malo GUSTO,RB,,France,80
Theo Hernandez,LB,LM,France,84
Lucas Hernandez,LB,CB,France,81
Maxence Lacroix,CB,,France,79
Aurelien Tchouameni,CDM,CM,France,84
Adrien Rabiot,CM,CDM,France,83
Manu Kone,CM,CDM,France,80
Warren Zaire Emery,CM,RM,France,81
Ngolo KANTE,CDM,CM,France,85
Michael Olise,CAM,"RW,RM",France,86
Ousmane Dembele,RW,ST,France,90
Bradley Barcola,LW,RW,France,84
Kylian Mbappe,ST,LW,France,91,
Rayan Cherki,CAM,RW,France,85
Desire Doue,LW,"LM,RW",France,85
Marcus Thuram,ST,,France,85
Maghnes AKLIOUCHE,CAM,RM,France,81
Jean Philippe MATETA,ST,,France,82
