name,primary_position,secondary_position,nationality,overall
Manuel Neuer,GK,,Germany,85
Oliver Baumann,GK,,Germany,83
Alexander Nübel,GK,,Germany,80
Joshua Kimmich,RB,"CDM,CM",Germany,89
Antonio Rüdiger,CB,,Germany,86
Jonathan Tah,CB,,Germany,87
Nico Schlotterbeck,CB,,Germany,87
Waldemar Anton,CB,,Germany,81
Malick Thiaw,CB,,Germany,78
Nathaniel Brown,LB,LM,Germany,84
David Raum,LB,LM,Germany,81
Pascal Gross,CM,CDM,Germany,81
Leon Goretzka,CM,CDM,Germany,82
Aleksandar Pavlović,CM,CDM,Germany,84
Angelo Stiller,CM,CDM,Germany,83
Felix Nmecha,CM,CDM,Germany,82
Nadiem Amiri,CAM,CM,Germany,83
Jamal Musiala,CAM,"LW,LM,CM",Germany,88
Florian Wirtz,CAM,"LW,LM",Germany,89
Jamie Leweling,RW,LW,Germany,80
Leroy Sané,RW,"LW,LM,RM",Germany,82
Kai Havertz,ST,"RW,CAM",Germany,87
Deniz Undav,ST,,Germany,85
Nick Woltemade,ST,CAM,Germany,82
Maximilian Beier,ST,"LW,RW",Germany,80
Assan Ouedraogo,CM,CAM,Germany,78
