name,primary_position,secondary_position,nationality,overall
Tomoki Hayakawa,GK,,Japan,79
Keisuke Osako,GK,,Japan,78
Zion Suzuki,GK,,Japan,78
Kou Itakura,CB,CDM,Japan,79
Hiroki Ito,CB,LB,Japan,80
Yuto Nagatomo,LB,RB,Japan,79
Ayumu Seko,CB,RB,Japan,78
Yukinari Sugawara,RB,RWB,Japan,82
Junnosuke Suzuki,CB,LB,Japan,79
Shogo Taniguchi,CB,,Japan,83
Takehiro Tomiyasu,CB,RB,Japan,82
Tsuyoshi Watanabe,CB,,Japan,78
Shuto machino,ST,CAM,Japan,78
Ritsu Doan,RW,RWB,Japan,82
Junya Ito,RW,RM,Japan,84
Daichi Kamada,CAM,CM,Japan,84
Takefusa Kubo,RW,CAM,Japan,84
Keito Nakamura,LW,ST,Japan,79
Kaishu Sano,CDM,CM,Japan,79
Ao Tanaka,CM,CDM,Japan,81
Keisuke Goto,ST,CF,Japan,77
Daizen Maeda,LW,ST,Japan,79
Koki Ogawa,ST,CF,Japan,77
Kento Shiogai,ST,CF,Japan,75
Yuito Suzuki,RW,CAM,Japan,77
Ayase Ueda,ST,CF,Japan,78
