name,primary_position,secondary_position,nationality,overall
Carlos Acevedo,GK,,Mexico,84
Guillermo Ochoa,GK,,Mexico,83
Raul Rangel,GK,,Mexico,81
Edson Alvarez,CDM,CB,Mexico,85
Mateo Chavez,LB,LWB,Mexico,79
Jesus Gallardo,LB,LW,Mexico,80
Cesar Montes,CB,,Mexico,83
Israel Reyes,CB,RB,Mexico,79
Jorge Sanchez,RB,RWB,Mexico,80
Johan Vasquez,CB,LB,Mexico,78
Alvaro Fidalgo,CM,CAM,Mexico,81
Brian Gutiérrez,CAM,RW,Mexico,79
Erik Lira,CDM,CM,Mexico,81
Gilberto Mora,CAM,LW,Mexico,78
Luis Chávez,CM,CDM,Mexico,82
Luis Romo,CM,CDM,Mexico,84
Obed Vargas,CM,CDM,Mexico,81
Orbelín Pineda,CAM,LW,Mexico,81
Alexis Vega,LW,ST,Mexico,79
Armando González,ST,CF,Mexico,75
César Huerta,LW,RW,Mexico,79
Guillermo Martínez,ST,CF,Mexico,80
Julián Quiñones,RW,ST,Mexico,81
Raúl Jiménez,ST,CF,Mexico,85
Roberto Alvarado,RW,CAM,Mexico,83
Santiago Giménez,ST,CF,Mexico,83
