name,primary_position,secondary_position,nationality,overall
Mark Flekken,GK,,Netherlands,83
Robin Roefs,GK,,Netherlands,82
Bart Verbruggen,GK,,Netherlands,84
Nathan Ake,CB,LB,Netherlands,83
Denzel Dumfries,RB,RWB,Netherlands,83
Lutsharel Geertruida,CB,RB,Netherlands,83
Jorrel Hato,CB,LB,Netherlands,80
Jan Paul van Hecke,CB,,Netherlands,83
Virgil van Dijk,CB,,Netherlands,89
Micky van de Ven,CB,LB,Netherlands,84
Frenkie de Jong,CM,CDM,Netherlands,89
Marten de Roon,CDM,CM,Netherlands,82
Ryan Gravenberch,CM,CDM,Netherlands,83
Teun Koopmeiners,CM,CAM,Netherlands,80
Tijjani Reijnders,CM,CAM,Netherlands,83
Guus Til,CAM,CM,Netherlands,84
Quinten Timber,CM,CDM,Netherlands,78
Mats Wieffer,CDM,CM,Netherlands,84
Brian Brobbey,ST,CF,Netherlands,83
Memphis Depay,CF,ST,Netherlands,83
Cody Gakpo,LW,ST,Netherlands,84
Justin Kluivert,LW,RW,Netherlands,81
Noa Lang,LW,RW,Netherlands,79
Donyell Malen,RW,ST,Netherlands,84
Crysencio Summerville,LW,RW,Netherlands,83
Wout Weghorst,ST,CF,Netherlands,83
