name,primary_position,secondary_position,nationality,overall
Diogo Costa,GK,,Portugal,84
Jose Sa,GK,,Portugal,77
Rui Silva,GK,,Portugal,81
Joao Cancelo,RB,LB,Portugal,84
Diogo Dalot,RB,LB,Portugal,79
Nelson Semedo,RB,RWB,Portugal,77
Ruben Dias,CB,,Portugal,85
Goncalo Inacio,CB,LB,Portugal,81
Tomas Araujo,CB,RB,Portugal,76
Renato Veiga,CB,LB,Portugal,77
Nuno Mendes,LB,LWB,Portugal,87
Bruno Fernandes,CAM,CM,Portugal,87
Bernardo Silva,RW,CAM,Portugal,84
Vitinha,CM,CDM,Portugal,89
Joao Neves,CM,CDM,Portugal,85
Ruben Neves,CDM,CM,Portugal,84
Samu Costa,CDM,CM,Portugal,78
Cristiano Ronaldo,ST,CF,Portugal,85
Goncalo Ramos,ST,CF,Portugal,82
Joao Felix,CF,CAM,Portugal,79
Rafael Leao,LW,ST,Portugal,84
Pedro Neto,RW,LW,Portugal,80
Francisco Conceicao,RW,LW,Portugal,79
Francisco Trincao,RW,LW,Portugal,82
Goncalo Guedes,LW,ST,Portugal,78
Matheus Nunes,CM,RB,Portugal,79
