name,primary_position,secondary_position,nationality
Jo Hyeonwoo,GK,,South Korea
Kim Seungyu,GK,,South Korea
Song Bumkeun,GK,,South Korea
Kim Minjae,CB,,South Korea
Lee Hanbeom,CB,,South Korea
Park Jinseob,CB,CDM,South Korea
Cho Wije,CB,,South Korea
Kim Taehyeon,CB,LB,South Korea
Lee Gihyuk,LB,CDM,South Korea
Kim Moonhwan,RB,RWB,South Korea
Seol Youngwoo,RB,LB,South Korea
Lee Taeseok,LB,LWB,South Korea
Hwang Inbeom,CM,CDM,South Korea
Hwang Heechan,LW,ST,South Korea
Lee Kangin,RW,CAM,South Korea
Lee Jaesung,CAM,CM,South Korea
Bae Junho,CAM,LW,South Korea
Yang Hyunjun,LW,RW,South Korea
Kim jingyu,CM,CAM,South Korea
Paik Seungho,CM,CDM,South Korea
Son Heungmin,LW,ST,South Korea
Cho Guesung,ST,CF,South Korea
Lee Donggyeong,ST,CF,South Korea
Oh Hyeongyu,ST,CF,South Korea
Eom Ji-sung,RW,LW,South Korea
Jens Castrop,CDM,CM,South Korea
