name,primary_position,secondary_position,nationality,overall
Chris Brady,GK,,USA,81
Matt Freese,GK,,USA,79
Matt Turner,GK,,USA,81
Max Arfsten,LB,LWB,USA,74
Sergiño Dest,RB,LB,USA,79
Alex Freeman,RB,RWB,USA,77
Mark McKenzie,CB,,USA,78
Tim Ream,CB,LB,USA,77
Chris Richards,CB,,USA,80
Antonee Robinson,LB,LWB,USA,84
Miles Robinson,CB,,USA,82
Joe Scally,RB,LB,USA,78
Auston Trusty,CB,LB,USA,79
Tyler Adams,CDM,CM,USA,84
Sebastian Berhalter,CM,CDM,USA,80
Weston McKennie,CM,CDM,USA,85
Cristian Roldan,CM,CAM,USA,82
Brenden Aaronson,CAM,RW,USA,84
Christian Pulisic,LW,RW,USA,86
Gio Reyna,CAM,RW,USA,83
Malik Tillman,CAM,CM,USA,84
Timothy Weah,RW,RWB,USA,84
Alex Zendejas,RW,LW,USA,82
Folarin Balogun,ST,CF,USA,85
Ricardo Pepi,ST,CF,USA,83
Haji Wright,ST,LW,USA,83
